"lat" "long" "year"
"134" 48.882227583 2.36871823266 2016
"135" 48.8299699141 2.33373125858 2016
"136" 48.829248479 2.35157092105 2016
"137" 48.8704511318 2.31071242778 2016
"138" 48.8661898896 2.37741702835 2016
"139" 48.8254369779 2.35031055535 2016
"140" 48.8897580005 2.37458346173 2016
"141" 48.894469985 2.31538880233 2016
"142" 48.8434855787 2.28657338058 2016
"143" 48.8474487021 2.3429364466 2016
"144" 48.8549869634 2.26480820991 2016
"145" 48.8585852368 2.26597380782 2016
"146" 48.8787409509 2.34693936088 2016
"147" 48.8588155303 2.34659747424 2016
"148" 48.8535763953 2.33708927283 2016
"149" 48.87116886 2.33725935451 2016
"150" 48.874793663 2.39398521325 2016
"151" 48.8562305331 2.37339538979 2016
"152" 48.8596027586 2.27341675192 2016
